Product Name,Rating,Customers_Rated,Price,URL
"boAt Xtend Smart Watch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery(Pitch Black)",4.1 out of 5 stars,148492,999.0,https://www.amazon.in/boAt-Smartwatch-Multiple-Monitoring-Resistance/dp/B096VF5YYF/ref=sr_1_3?dib=eyJ2IjoiMSJ9.QFsdwBxqK2RqisuwW4yO0MCfmkZ3DBDwtspz5OiJ7DqUlIJrVMtgxZGS30JubamZYSKjls9SZIh7FdDp2ptgbFEhKnK91PraZzSCBGcouRrsTn6RBBDBgWv5xfDWn_OazexVEluNOWs-g3Rv1xGSs7jo9h0vU1QsFJFyPu8NaJ2DZrSRq2jQ6BoP_FJTOTDYRmS288UZrRiA1Tj_Pw2lsna6y4JBRZxpVONovuVd9GyhtLVJvzT8qolEGI7nIDuAq8FPLAyoZHIG0UKHinwvTNcf3zdee3mcNleY7e0R39s.x1HaqagAF82pmekbUiu1WBCZxE1KhDr-8yGh8_T6bqY&dib_tag=se&keywords=watch&qid=1714270189&sr=8-3
"boAt Xtend Smart Watch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, HR & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery Life(Olive Green)",4.1 out of 5 stars,148492,999.0,https://www.amazon.in/boAt-Smartwatch-Multiple-Monitoring-Resistance/dp/B096VF1PJ8/ref=sr_1_4?dib=eyJ2IjoiMSJ9.QFsdwBxqK2RqisuwW4yO0MCfmkZ3DBDwtspz5OiJ7DqUlIJrVMtgxZGS30JubamZYSKjls9SZIh7FdDp2ptgbFEhKnK91PraZzSCBGcouRrsTn6RBBDBgWv5xfDWn_OazexVEluNOWs-g3Rv1xGSs7jo9h0vU1QsFJFyPu8NaJ2DZrSRq2jQ6BoP_FJTOTDYRmS288UZrRiA1Tj_Pw2lsna6y4JBRZxpVONovuVd9GyhtLVJvzT8qolEGI7nIDuAq8FPLAyoZHIG0UKHinwvTNcf3zdee3mcNleY7e0R39s.x1HaqagAF82pmekbUiu1WBCZxE1KhDr-8yGh8_T6bqY&dib_tag=se&keywords=watch&qid=1714270189&sr=8-4
"boAt Xtend Smart Watch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, HR & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery Life(Deep Blue)",4.1 out of 5 stars,148492,999.0,https://www.amazon.in/boAt-Smartwatch-Multiple-Monitoring-Resistance/dp/B096VDJ5QX/ref=sr_1_47?dib=eyJ2IjoiMSJ9.QFsdwBxqK2RqisuwW4yO0MCfmkZ3DBDwtspz5OiJ7DqUlIJrVMtgxZGS30JubamZYSKjls9SZIh7FdDp2ptgbFEhKnK91PraZzSCBGcouRrsTn6RBBDBgWv5xfDWn_OazexVEluNOWs-g3Rv1xGSs7jo9h0vU1QsFJFyPu8NaJ2DZrSRq2jQ6BoP_FJTOTDYRmS288UZrRiA1Tj_Pw2lsna6y4JBRZxpVONovuVd9GyhtLVJvzT8qolEGI7nIDuAq8FPLAyoZHIG0UKHinwvTNcf3zdee3mcNleY7e0R39s.x1HaqagAF82pmekbUiu1WBCZxE1KhDr-8yGh8_T6bqY&dib_tag=se&keywords=watch&qid=1714270189&sr=8-47
"Noise Quad Call 1.81"" Display, Bluetooth Calling Smart Watch, AI Voice Assistance, 160+Hrs Battery Life, Metallic Build, in-Built Games, 100 Sports Modes, 100+ Watch Faces (Elite Black)",4.0 out of 5 stars,117605,1599.0,https://www.amazon.in/Noise-Display-Bluetooth-Assistance-Metallic/dp/B0CQHY1S1V/ref=sr_1_30?dib=eyJ2IjoiMSJ9.QFsdwBxqK2RqisuwW4yO0MCfmkZ3DBDwtspz5OiJ7DqUlIJrVMtgxZGS30JubamZYSKjls9SZIh7FdDp2ptgbFEhKnK91PraZzSCBGcouRrsTn6RBBDBgWv5xfDWn_OazexVEluNOWs-g3Rv1xGSs7jo9h0vU1QsFJFyPu8NaJ2DZrSRq2jQ6BoP_FJTOTDYRmS288UZrRiA1Tj_Pw2lsna6y4JBRZxpVONovuVd9GyhtLVJvzT8qolEGI7nIDuAq8FPLAyoZHIG0UKHinwvTNcf3zdee3mcNleY7e0R39s.x1HaqagAF82pmekbUiu1WBCZxE1KhDr-8yGh8_T6bqY&dib_tag=se&keywords=watch&qid=1714270189&sr=8-30
"boAt Wave Call 2 with 1.83"" HD Display, Advanced BT Calling, DIY Watch Face Studio, Coins, 700+Active Modes, Live Cricket Scores, Smart Watch for Men & Women(Active Black)",3.9 out of 5 stars,71953,1499.0,https://www.amazon.in/boAt-Display-Advanced-Calling-Monitoring/dp/B0C7WGPM6R/ref=sr_1_22?dib=eyJ2IjoiMSJ9.QFsdwBxqK2RqisuwW4yO0MCfmkZ3DBDwtspz5OiJ7DqUlIJrVMtgxZGS30JubamZYSKjls9SZIh7FdDp2ptgbFEhKnK91PraZzSCBGcouRrsTn6RBBDBgWv5xfDWn_OazexVEluNOWs-g3Rv1xGSs7jo9h0vU1QsFJFyPu8NaJ2DZrSRq2jQ6BoP_FJTOTDYRmS288UZrRiA1Tj_Pw2lsna6y4JBRZxpVONovuVd9GyhtLVJvzT8qolEGI7nIDuAq8FPLAyoZHIG0UKHinwvTNcf3zdee3mcNleY7e0R39s.x1HaqagAF82pmekbUiu1WBCZxE1KhDr-8yGh8_T6bqY&dib_tag=se&keywords=watch&qid=1714270189&sr=8-22
"Fire-Boltt Phoenix AMOLED 1.43"" Display Smart Watch, with 700 NITS Brightness, Stainless Steel Rotating Crown, Multipe Sports Modes & 360 Health (Gold)",4.2 out of 5 stars,52718,1949.0,https://www.amazon.in/Fire-Boltt-Phoenix-Brightness-Stainless-Rotating/dp/B0CCNKMBS1/ref=sr_1_42?dib=eyJ2IjoiMSJ9.QFsdwBxqK2RqisuwW4yO0MCfmkZ3DBDwtspz5OiJ7DqUlIJrVMtgxZGS30JubamZYSKjls9SZIh7FdDp2ptgbFEhKnK91PraZzSCBGcouRrsTn6RBBDBgWv5xfDWn_OazexVEluNOWs-g3Rv1xGSs7jo9h0vU1QsFJFyPu8NaJ2DZrSRq2jQ6BoP_FJTOTDYRmS288UZrRiA1Tj_Pw2lsna6y4JBRZxpVONovuVd9GyhtLVJvzT8qolEGI7nIDuAq8FPLAyoZHIG0UKHinwvTNcf3zdee3mcNleY7e0R39s.x1HaqagAF82pmekbUiu1WBCZxE1KhDr-8yGh8_T6bqY&dib_tag=se&keywords=watch&qid=1714270189&sr=8-42
"Fire-Boltt Phoenix Ultra Luxury Stainless Steel, Bluetooth Calling Smartwatch, AI Voice Assistant, Metal Body with 120+ Sports Modes, SpO2, Heart Rate Monitoring (Gold)",4.2 out of 5 stars,52718,1749.0,https://www.amazon.in/Fire-Boltt-Stainless-Bluetooth-Smartwatch-Monitoring/dp/B0BY2PWDFQ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.QFsdwBxqK2RqisuwW4yO0MCfmkZ3DBDwtspz5OiJ7DqUlIJrVMtgxZGS30JubamZYSKjls9SZIh7FdDp2ptgbFEhKnK91PraZzSCBGcouRrsTn6RBBDBgWv5xfDWn_OazexVEluNOWs-g3Rv1xGSs7jo9h0vU1QsFJFyPu8NaJ2DZrSRq2jQ6BoP_FJTOTDYRmS288UZrRiA1Tj_Pw2lsna6y4JBRZxpVONovuVd9GyhtLVJvzT8qolEGI7nIDuAq8FPLAyoZHIG0UKHinwvTNcf3zdee3mcNleY7e0R39s.x1HaqagAF82pmekbUiu1WBCZxE1KhDr-8yGh8_T6bqY&dib_tag=se&keywords=watch&qid=1714270189&sr=8-7
"Fire-Boltt Phoenix Ultra Luxury Stainless Steel, Bluetooth Calling Smartwatch, AI Voice Assistant, Metal Body with 120+ Sports Modes, SpO2, Heart Rate Monitoring (Multicolor)",4.2 out of 5 stars,52718,1749.0,https://www.amazon.in/Fire-Boltt-Stainless-Smartwatch-Monitoring-Multicolor/dp/B0BY2NM7C8/ref=sr_1_41?dib=eyJ2IjoiMSJ9.QFsdwBxqK2RqisuwW4yO0MCfmkZ3DBDwtspz5OiJ7DqUlIJrVMtgxZGS30JubamZYSKjls9SZIh7FdDp2ptgbFEhKnK91PraZzSCBGcouRrsTn6RBBDBgWv5xfDWn_OazexVEluNOWs-g3Rv1xGSs7jo9h0vU1QsFJFyPu8NaJ2DZrSRq2jQ6BoP_FJTOTDYRmS288UZrRiA1Tj_Pw2lsna6y4JBRZxpVONovuVd9GyhtLVJvzT8qolEGI7nIDuAq8FPLAyoZHIG0UKHinwvTNcf3zdee3mcNleY7e0R39s.x1HaqagAF82pmekbUiu1WBCZxE1KhDr-8yGh8_T6bqY&dib_tag=se&keywords=watch&qid=1714270189&sr=8-41
"Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3"",120+ Sports Modes, 240 * 240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating (Silver Grey)",4.2 out of 5 stars,52717,1199.0,https://www.amazon.in/Fire-Boltt-Phoenix-Bluetooth-Calling-Monitoring/dp/B0B3RSDSZ3/ref=sr_1_29?dib=eyJ2IjoiMSJ9.QFsdwBxqK2RqisuwW4yO0MCfmkZ3DBDwtspz5OiJ7DqUlIJrVMtgxZGS30JubamZYSKjls9SZIh7FdDp2ptgbFEhKnK91PraZzSCBGcouRrsTn6RBBDBgWv5xfDWn_OazexVEluNOWs-g3Rv1xGSs7jo9h0vU1QsFJFyPu8NaJ2DZrSRq2jQ6BoP_FJTOTDYRmS288UZrRiA1Tj_Pw2lsna6y4JBRZxpVONovuVd9GyhtLVJvzT8qolEGI7nIDuAq8FPLAyoZHIG0UKHinwvTNcf3zdee3mcNleY7e0R39s.x1HaqagAF82pmekbUiu1WBCZxE1KhDr-8yGh8_T6bqY&dib_tag=se&keywords=watch&qid=1714270189&sr=8-29
Vintage Digital Grey Dial Unisex A-158WA-1Q (D011),4.4 out of 5 stars,40353,1576.0,https://www.amazon.in/Casio-Vintage-Digital-Grey-Watch-A158WA-1Q/dp/B000GAYQJ0/ref=sr_1_20?dib=eyJ2IjoiMSJ9.QFsdwBxqK2RqisuwW4yO0MCfmkZ3DBDwtspz5OiJ7DqUlIJrVMtgxZGS30JubamZYSKjls9SZIh7FdDp2ptgbFEhKnK91PraZzSCBGcouRrsTn6RBBDBgWv5xfDWn_OazexVEluNOWs-g3Rv1xGSs7jo9h0vU1QsFJFyPu8NaJ2DZrSRq2jQ6BoP_FJTOTDYRmS288UZrRiA1Tj_Pw2lsna6y4JBRZxpVONovuVd9GyhtLVJvzT8qolEGI7nIDuAq8FPLAyoZHIG0UKHinwvTNcf3zdee3mcNleY7e0R39s.x1HaqagAF82pmekbUiu1WBCZxE1KhDr-8yGh8_T6bqY&dib_tag=se&keywords=watch&qid=1714270189&sr=8-20
